iter	Passed	Remaining
407	5282	7665
408	5295	7651
409	5308	7639
410	5320	7624
411	5332	7610
412	5345	7597
413	5358	7584
414	5370	7570
415	5383	7557
416	5395	7543
417	5408	7530
418	5419	7514
419	5430	7499
420	5441	7484
421	5453	7469
422	5464	7453
423	5477	7441
424	5490	7427
425	5503	7415
426	5517	7403
427	5531	7392
428	5545	7380
429	5560	7370
430	5573	7358
431	5587	7346
432	5601	7335
433	5616	7324
434	5630	7313
435	5645	7302
436	5658	7290
437	5672	7278
438	5685	7265
439	5696	7249
440	5708	7236
441	5721	7222
442	5734	7209
443	5747	7196
444	5758	7182
445	5771	7168
446	5786	7158
447	5799	7145
448	5811	7131
449	5823	7117
450	5834	7102
451	5846	7088
452	5858	7073
453	5871	7061
454	5883	7047
455	5895	7033
456	5907	7018
457	5918	7004
458	5930	6989
459	5941	6974
460	5951	6957
461	5962	6943
462	5972	6927
463	5983	6912
464	5996	6898
465	6007	6884
466	6020	6871
467	6031	6856
468	6043	6842
469	6055	6828
470	6066	6813
471	6078	6799
472	6089	6785
473	6101	6771
474	6112	6756
475	6124	6741
476	6134	6726
477	6146	6712
478	6158	6698
479	6170	6684
480	6181	6669
481	6193	6656
482	6205	6641
483	6216	6627
484	6228	6614
485	6241	6600
486	6252	6586
487	6264	6572
488	6276	6559
489	6287	6544
490	6300	6531
491	6311	6516
492	6322	6502
493	6333	6487
494	6346	6474
495	6357	6459
496	6368	6445
497	6380	6431
498	6391	6416
499	6403	6403
500	6415	6389
501	6426	6375
502	6438	6361
503	6449	6346
504	6460	6332
505	6471	6318
506	6483	6304
507	6494	6290
508	6506	6276
509	6518	6262
510	6529	6248
511	6542	6235
512	6554	6222
513	6565	6208
514	6576	6193
515	6588	6179
516	6599	6165
517	6611	6151
518	6622	6137
519	6634	6124
520	6646	6110
521	6660	6099
522	6672	6085
523	6686	6073
524	6698	6060
525	6712	6048
526	6725	6036
527	6741	6026
528	6757	6016
529	6773	6006
530	6787	5995
531	6802	5984
532	6814	5970
533	6827	5957
534	6840	5945
535	6851	5931
536	6863	5917
537	6874	5903
538	6884	5887
539	6894	5873
540	6906	5859
541	6918	5845
542	6929	5832
543	6943	5820
544	6957	5808
545	6971	5796
546	6984	5784
547	6999	5773
548	7013	5761
549	7026	5748
550	7040	5736
551	7051	5722
552	7064	5710
553	7077	5697
554	7090	5685
555	7102	5671
556	7113	5657
557	7125	5644
558	7138	5631
559	7151	5619
560	7165	5607
561	7179	5595
562	7193	5583
563	7208	5572
564	7221	5559
565	7233	5546
566	7245	5532
567	7258	5520
568	7271	5507
569	7284	5495
570	7297	5482
571	7311	5470
572	7325	5459
573	7337	5445
574	7348	5431
575	7359	5417
576	7372	5404
577	7385	5392
578	7397	5378
579	7408	5365
580	7421	5352
581	7433	5339
582	7447	5327
583	7461	5314
584	7475	5302
585	7488	5290
586	7502	5278
587	7515	5266
588	7528	5253
589	7541	5240
590	7554	5228
591	7568	5215
592	7581	5203
593	7595	5191
594	7609	5179
595	7623	5167
596	7638	5156
597	7651	5143
598	7664	5131
599	7678	5119
600	7692	5107
601	7705	5094
602	7718	5081
603	7731	5069
604	7744	5056
605	7756	5043
606	7773	5032
607	7789	5021
608	7803	5010
609	7819	4999
610	7835	4988
611	7851	4977
612	7866	4966
613	7882	4955
614	7900	4945
615	7916	4934
616	7932	4924
617	7950	4914
618	7965	4902
619	7980	4891
620	7994	4879
621	8010	4867
622	8024	4855
623	8039	4844
624	8054	4832
625	8070	4821
626	8084	4809
627	8100	4798
628	8113	4785
629	8130	4774
630	8142	4761
631	8154	4748
632	8166	4735
633	8179	4721
634	8191	4708
635	8203	4695
636	8216	4682
637	8227	4668
638	8240	4655
639	8253	4642
640	8266	4629
641	8280	4617
642	8293	4604
643	8309	4593
644	8321	4580
645	8334	4567
646	8347	4554
647	8360	4541
648	8373	4528
649	8385	4515
650	8397	4502
651	8409	4488
652	8421	4475
653	8433	4461
654	8447	4449
655	8458	4435
656	8470	4422
657	8483	4409
658	8495	4396
659	8508	4383
660	8521	4370
661	8532	4356
662	8544	4343
663	8556	4329
664	8567	4316
665	8579	4302
666	8590	4288
667	8602	4275
668	8615	4262
669	8628	4249
670	8641	4236
671	8652	4223
672	8665	4210
673	8677	4197
674	8688	4183
675	8699	4169
676	8710	4155
677	8722	4142
678	8734	4129
679	8746	4115
680	8757	4102
681	8769	4089
682	8780	4075
683	8792	4061
684	8803	4048
685	8816	4035
686	8829	4022
687	8840	4009
688	8852	3995
689	8864	3982
690	8880	3971
691	8892	3958
692	8904	3944
693	8918	3932
694	8930	3919
695	8943	3906
696	8958	3894
697	8972	3881
698	8986	3869
699	9001	3857
700	9016	3845
701	9029	3833
702	9043	3820
703	9058	3808
704	9072	3796
705	9087	3784
706	9100	3771
707	9113	3758
708	9124	3745
709	9138	3732
710	9150	3719
711	9163	3706
712	9175	3693
713	9186	3679
714	9209	3671
715	9222	3658
716	9238	3646
717	9252	3633
718	9267	3621
719	9282	3609
720	9296	3597
721	9310	3584
722	9324	3572
723	9340	3560
724	9355	3548
725	9370	3536
726	9386	3524
727	9400	3512
728	9413	3499
729	9427	3487
730	9441	3474
731	9456	3462
732	9468	3449
733	9482	3436
734	9495	3423
735	9507	3410
736	9520	3397
737	9533	3384
738	9546	3371
739	9559	3358
740	9572	3345
741	9584	3332
742	9597	3319
743	9610	3306
744	9623	3293
745	9636	3280
746	9649	3268
747	9661	3254
748	9673	3241
749	9687	3229
750	9700	3216
751	9713	3203
752	9725	3190
753	9737	3176
754	9751	3164
755	9764	3151
756	9776	3138
757	9788	3125
758	9800	3111
759	9812	3098
760	9823	3085
761	9835	3072
762	9847	3058
763	9859	3045
764	9871	3032
765	9883	3019
766	9895	3006
767	9906	2992
768	9918	2979
769	9930	2966
770	9942	2953
771	9955	2940
772	9966	2926
773	9978	2913
774	9990	2900
775	10002	2887
776	10014	2874
777	10026	2860
778	10038	2847
779	10049	2834
780	10060	2820
781	10070	2807
782	10081	2794
783	10093	2780
784	10106	2768
785	10120	2755
