iter	Logloss
0	0.6625153897
1	0.6370083861
2	0.6113392493
3	0.5886739354
4	0.568646535
5	0.5497439327
6	0.5320599423
7	0.5171037903
8	0.5039760381
9	0.4897581738
10	0.476959262
11	0.4659746652
12	0.4559521069
13	0.4464152903
14	0.4373698989
15	0.4288818458
16	0.421397381
17	0.4145183496
18	0.4078744938
19	0.401840024
20	0.3962103612
21	0.3910762302
22	0.386115133
23	0.3816699645
24	0.3776404571
25	0.3740788632
26	0.3702474661
27	0.3678124981
28	0.3641682247
29	0.3613684098
30	0.3589270893
31	0.3564849602
32	0.3535467485
33	0.3515513216
34	0.3491338481
35	0.3473181064
36	0.345763284
37	0.3441144267
38	0.3419286349
39	0.3401113098
40	0.3386516096
41	0.3372090112
42	0.3359667875
43	0.3344247397
44	0.3327247393
45	0.3318157115
46	0.3308907956
47	0.3295581898
48	0.3286090822
49	0.3265336641
50	0.3257208358
51	0.3248370075
52	0.3237230177
53	0.3221278853
54	0.3207545672
55	0.3200359763
56	0.3185099597
57	0.317562981
58	0.3167094976
59	0.3156350672
60	0.3149629574
61	0.3135626351
62	0.3128395535
63	0.3123397338
64	0.3112832656
65	0.3102761785
66	0.3098875192
67	0.3091074265
68	0.3086661226
69	0.3081042353
70	0.3071748956
71	0.3061210143
72	0.3056814385
73	0.3051001817
74	0.3045147057
75	0.3039892105
76	0.3033598861
77	0.3023878753
78	0.3018574619
79	0.3011321564
80	0.3007042715
81	0.3001300519
82	0.2994528452
83	0.2987312564
84	0.2981884449
85	0.2977577636
86	0.2971248674
87	0.2966176934
88	0.296066331
89	0.2955135695
90	0.2948591854
91	0.2944452889
92	0.2937900585
93	0.2932589064
94	0.292604154
95	0.2918200492
96	0.2913205817
97	0.2908295318
98	0.2903942971
99	0.2900458107
100	0.2892249197
101	0.2889055095
102	0.2885812614
103	0.2879290178
104	0.2876445785
105	0.2871776543
106	0.286984489
107	0.2866800231
108	0.2862836082
109	0.2859266871
110	0.2855305847
111	0.2851782269
112	0.2849243131
113	0.2845969049
114	0.284145915
115	0.2836894161
116	0.2834576601
117	0.2832062733
118	0.2827582843
119	0.2824754564
120	0.2821498715
121	0.2816088981
122	0.2813378757
123	0.2808655872
124	0.2804462497
125	0.2801045502
126	0.2797123343
127	0.2793467569
128	0.2790474242
129	0.2787753113
130	0.2782863793
131	0.2776349223
132	0.2773144245
133	0.2769321187
134	0.276692264
135	0.2763676223
136	0.2761978674
137	0.2759677992
138	0.2755138306
139	0.2750417427
140	0.274758978
141	0.2745972752
142	0.2742890557
143	0.274094941
144	0.2738975099
145	0.2736915007
146	0.2733033711
147	0.2729322249
148	0.2724688773
149	0.2722730679
150	0.2719654908
151	0.2715923733
152	0.2713767913
153	0.2711127977
154	0.2706255085
155	0.2703001337
156	0.2699345322
157	0.2696981661
158	0.2693346322
159	0.2690453307
160	0.2687585709
161	0.2683595637
162	0.268099807
163	0.2678370387
164	0.2676419064
165	0.2674066506
166	0.2670527978
167	0.2668767165
168	0.2667123885
169	0.2664834389
170	0.2662018347
171	0.2659869639
172	0.2656095005
173	0.2654590101
174	0.2652445253
175	0.264874242
176	0.2646120091
177	0.2643722385
178	0.2641148472
179	0.2638308996
180	0.2635486456
181	0.2630422092
182	0.2628163586
183	0.2621752872
184	0.261945104
185	0.2616193001
186	0.2614448209
187	0.2611829077
188	0.2608429165
189	0.2606491211
190	0.2604764346
191	0.2602764224
192	0.2600729899
193	0.2598060499
194	0.2594305092
195	0.2592227994
196	0.2591136574
197	0.2588840818
198	0.2587471253
199	0.2584250263
200	0.2581747672
201	0.2578313721
202	0.2575920071
203	0.2572394569
204	0.257032803
205	0.2567703248
206	0.2565449493
207	0.2562994676
208	0.2558452316
209	0.2556680876
210	0.2553357756
211	0.255155001
212	0.2550332357
213	0.2548939254
214	0.2546790184
215	0.2542726305
216	0.2540750468
217	0.2539313132
218	0.2537425699
219	0.2535097822
220	0.2531866272
221	0.2529731027
222	0.2528471613
223	0.2525740755
224	0.25231966
225	0.251912083
226	0.2517683268
227	0.2515959423
228	0.2514790012
229	0.2512123655
230	0.2510929107
231	0.2509148351
232	0.2505655698
233	0.2502116088
234	0.2497471195
235	0.2496054237
236	0.2493287578
237	0.2490573435
238	0.2489177078
239	0.2485929739
240	0.2482155462
241	0.248020112
242	0.2478884791
243	0.2477765205
244	0.2476812878
245	0.2475097497
246	0.2473285393
247	0.2470586316
248	0.2469123774
249	0.2467234087
250	0.2464441342
251	0.2462821293
252	0.2461185059
253	0.245834283
254	0.2456241938
255	0.2453954427
256	0.2452737148
257	0.2450410799
258	0.2448904191
259	0.2447102516
260	0.2445058805
261	0.244341127
262	0.2441311853
263	0.2438948226
264	0.2436599292
265	0.2435308249
266	0.2433695811
267	0.2431350958
268	0.2427723838
269	0.2424829973
270	0.2421628175
271	0.2420000447
272	0.241684169
273	0.2415647445
274	0.2413409539
275	0.2411788142
276	0.2409065058
277	0.2406563155
278	0.2404498
279	0.2400965191
280	0.2399494432
281	0.2397610956
282	0.2395924938
283	0.2394063575
284	0.2392493926
285	0.2391393128
286	0.2390158192
287	0.2388858434
288	0.238677952
289	0.2385821119
290	0.2384185286
291	0.2382327282
292	0.2379719994
293	0.23781016
294	0.2376640103
295	0.2373596747
296	0.2371045576
297	0.2367090191
298	0.236549738
299	0.2363325918
300	0.236113632
301	0.2358601474
302	0.2357234926
303	0.2355353754
304	0.2354204901
305	0.2353192572
306	0.235104521
307	0.2349844886
308	0.234681316
309	0.2345450936
310	0.2343270674
311	0.2342016494
312	0.2338338368
313	0.2336779899
314	0.2334266054
315	0.2331300008
316	0.2329912105
317	0.2328462809
318	0.2325677179
319	0.2323869658
320	0.2322052369
321	0.232015511
322	0.2318250524
323	0.2316662782
324	0.2314178042
325	0.2313166812
326	0.2311075256
327	0.2307342414
328	0.2306528974
329	0.2304848277
330	0.2302955643
331	0.2301929171
332	0.22988001
333	0.2297628721
334	0.2296793857
335	0.2294907755
336	0.2292264979
337	0.229040065
338	0.2286970382
339	0.2284703305
340	0.2282224598
341	0.2278959734
342	0.2277802109
343	0.2276761312
344	0.227463027
345	0.227249684
346	0.227118264
347	0.2268993905
348	0.2267866247
349	0.2266169984
350	0.226448766
351	0.2262689851
352	0.2260781272
353	0.225917117
354	0.2257933801
355	0.2257030688
356	0.2256171759
357	0.225479439
358	0.2252580558
359	0.2249304419
360	0.224774784
361	0.224580472
362	0.2244321361
363	0.2242518593
364	0.2240747461
365	0.2239288962
366	0.2237603713
367	0.2236064345
368	0.2233699108
369	0.223252072
370	0.223151831
371	0.2229779855
372	0.2228469659
373	0.2226506637
374	0.2223504963
375	0.2221785875
376	0.2219986287
377	0.221820277
378	0.2216396531
379	0.2214762111
380	0.2212322769
381	0.2210610155
382	0.2205566908
383	0.2204761591
384	0.2203743864
385	0.2200502115
386	0.2198746637
387	0.2196779937
388	0.219610382
389	0.219417928
390	0.2191534302
391	0.2189551155
392	0.2187872166
393	0.2186272157
394	0.2184994108
395	0.2183596393
396	0.218128858
397	0.2180271242
398	0.2178156358
399	0.2175890284
400	0.2173882901
401	0.2172583556
402	0.2170082548
403	0.216594192
404	0.2163821805
405	0.216106478
406	0.2159721795
407	0.2158580071
408	0.2157079285
409	0.2155758203
410	0.215439157
411	0.2152692518
412	0.2151490288
413	0.2149977798
414	0.2148933335
415	0.2146629868
416	0.2143907234
417	0.2142229653
418	0.2139729526
419	0.2138598103
420	0.2137123146
421	0.2136162255
422	0.2133316709
423	0.2130617861
424	0.2129073177
425	0.2126374848
426	0.212445476
427	0.2122344813
428	0.2120364084
429	0.2118837077
430	0.2117500593
431	0.2116697372
432	0.2115872265
433	0.2114647691
434	0.2112981378
435	0.2110640989
436	0.2109637697
437	0.2108579221
438	0.2107683949
439	0.2105741896
440	0.2104075138
441	0.2102328266
442	0.2099224106
443	0.2098498928
444	0.2097050205
445	0.2094999321
446	0.2093276458
447	0.209194212
448	0.2090794356
449	0.2089638989
450	0.2088857446
451	0.2087934382
452	0.2086391066
453	0.208496049
454	0.2083012
455	0.2081029984
456	0.2079111143
457	0.2077545354
458	0.2076186872
459	0.2074978295
460	0.2073925259
461	0.2072180149
462	0.2070399125
463	0.206838851
464	0.2065881955
465	0.2064180572
466	0.2062455304
467	0.206126379
468	0.2059920569
469	0.2057889804
470	0.2056283711
471	0.2054129006
472	0.2052471792
473	0.2050280714
474	0.2048863344
475	0.2046377068
476	0.2045337417
477	0.2044375049
478	0.2042411313
479	0.204068458
480	0.2038713595
481	0.2037261746
482	0.2036140571
483	0.2034770355
484	0.203381157
485	0.2032439652
486	0.2031206481
487	0.203053311
488	0.2028607365
489	0.2027243258
490	0.2026061842
491	0.2024584733
492	0.2023356339
493	0.2022069775
494	0.2020826442
495	0.2019481017
496	0.2017234812
497	0.2015769699
498	0.2014521458
499	0.2012315692
500	0.2010971564
501	0.2009883158
502	0.2008957449
503	0.2007815509
504	0.2006436199
505	0.2005356703
506	0.2003763424
507	0.2002512169
508	0.2001749569
509	0.2000273983
510	0.1999068217
511	0.1998000757
512	0.1996700999
513	0.1994858028
514	0.1993453032
515	0.1992176371
516	0.1990574578
517	0.1989689229
518	0.1987657125
519	0.1985828901
520	0.1985041435
521	0.1982945451
522	0.1981776422
523	0.1980954765
524	0.1979805422
525	0.1978700816
526	0.1977205924
527	0.1976017235
528	0.1974735845
529	0.1973608009
530	0.1972803517
531	0.1971512322
532	0.1969288757
533	0.1968180054
534	0.1966736913
535	0.1965744623
536	0.1964792241
537	0.1963836205
538	0.1962354009
539	0.196125753
540	0.1959844106
541	0.1958520025
542	0.1957334365
543	0.1956498315
544	0.1955210912
545	0.1954304598
546	0.1952866512
547	0.1951720759
548	0.1950898524
549	0.1950181908
550	0.1949269513
551	0.19482699
552	0.1946637023
553	0.1945792073
554	0.1944202063
555	0.1942433606
556	0.194135016
557	0.1940572259
558	0.1939374094
559	0.1938556592
560	0.1937840038
561	0.193679378
562	0.1934275579
563	0.1932138235
564	0.1930254692
565	0.1929388686
566	0.1928104556
567	0.1926216816
568	0.1925278438
569	0.1923298196
570	0.1920988137
571	0.1920010691
572	0.1919214174
573	0.1917634999
